table,column,dtype,nulls,unique_values,top_values
transaction,TransactionId,int64,0,52930,3 (1); 72246 (1); 72230 (1); 72231 (1); 72232 (1)
transaction,UserId,int64,0,33530,60799 (59); 84842 (40); 83466 (33); 53429 (25); 70663 (25)
transaction,VisitYear,int64,0,10,2016 (12823); 2017 (9444); 2015 (8687); 2018 (7461); 2019 (5913)
transaction,VisitMonth,int64,0,12,8 (5026); 9 (4917); 7 (4861); 10 (4715); 12 (4542)
transaction,VisitMode,int64,0,5,2 (21620); 3 (15217); 4 (10945); 5 (4525); 1 (623)
transaction,AttractionId,int64,0,30,640 (13198); 841 (6429); 748 (5815); 824 (3359); 737 (3352)
transaction,Rating,int64,0,5,5 (23936); 4 (17966); 3 (7730); 2 (2035); 1 (1263)
user,UserId,int64,0,33530,14 (1); 59541 (1); 59538 (1); 59534 (1); 59532 (1)
user,ContinentId,int64,0,5,4 (9837); 3 (9822); 5 (8260); 2 (5018); 1 (593)
user,RegionId,int64,0,22,15 (8848); 14 (6387); 21 (5275); 8 (4788); 13 (1858)
user,CountryId,int64,0,153,109 (8848); 163 (4062); 51 (3799); 101 (2889); 106 (1815)
user,CityId,float64,4,5546,3551.0 (1784); 1434.0 (1502); 4940.0 (1232); 426.0 (1002); 535.0 (978)
item,AttractionId,int64,0,30,369 (1); 481 (1); 1280 (1); 1278 (1); 1238 (1)
item,AttractionCityId,int64,0,3,1 (10); 2 (10); 3 (10)
item,AttractionTypeId,int64,0,17,13 (6); 72 (3); 76 (2); 93 (2); 61 (2)
item,Attraction,object,0,30,'Kuta Beach - Bali' (1); 'Nusa Dua Beach' (1); 'Water Castle (Tamansari)' (1); 'Ullen Sentalu Museum' (1); 'Sewu Temple' (1)
item,AttractionAddress,object,0,25,"'Yogyakarta' (5); 'Malang District' (2); 'Kuta' (1); 'Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia' (1); 'Jl. Boyong Taman Wisata, 55581 Indonesia' (1)"
city,CityId,int64,0,9143,0 (1); 6098 (1); 6092 (1); 6093 (1); 6094 (1)
city,CityName,object,1,8768,'-' (8); 'Richmond' (5); 'Hamilton' (4); 'Victoria' (4); 'Cambridge' (4)
city,CountryId,int64,0,164,109 (1782); 51 (1509); 163 (1232); 101 (295); 48 (283)
country,CountryId,int64,0,165,0 (1); 104 (1); 106 (1); 107 (1); 108 (1)
country,Country,object,0,164,'Cyprus' (2); '-' (1); 'Marshall Islands' (1); 'Philippines' (1); 'Singapore' (1)
country,RegionId,int64,0,22,12 (16); 17 (15); 6 (13); 20 (12); 14 (11)
region,Region,object,0,22,'-' (1); 'Central Africa' (1); 'Southern Europe' (1); 'Northern Europe' (1); 'Eastern Europe' (1)
region,RegionId,int64,0,22,0 (1); 1 (1); 20 (1); 19 (1); 18 (1)
region,ContinentId,int64,0,6,1 (5); 3 (5); 5 (5); 2 (4); 4 (2)
continent,ContinentId,int64,0,6,0 (1); 1 (1); 2 (1); 3 (1); 4 (1)
continent,Continent,object,0,6,'-' (1); 'Africa' (1); 'America' (1); 'Asia' (1); 'Australia & Oceania' (1)
type,AttractionTypeId,int64,0,17,2 (1); 64 (1); 92 (1); 91 (1); 84 (1)
type,AttractionType,object,0,17,'Ancient Ruins' (1); 'Neighborhoods' (1); 'Water Parks' (1); 'Volcanos' (1); 'Speciality Museums' (1)
mode,VisitModeId,int64,0,6,0 (1); 1 (1); 2 (1); 3 (1); 4 (1)
mode,VisitMode,object,0,6,'-' (1); 'Business' (1); 'Couples' (1); 'Family' (1); 'Friends' (1)
