AttractionId,att_Attraction,visits,avg_rating
640,Sacred Monkey Forest Sanctuary,13198,4.267085922109411
841,Waterbom Bali,6429,4.646601337688598
748,Tegalalang Rice Terrace,5815,4.157523645743766
824,Uluwatu Temple,3359,4.219410538850848
737,Tanah Lot Temple,3352,4.19480906921241
650,Sanur Beach,3044,3.97634691195795
673,Seminyak Beach,2914,3.800617707618394
369,Kuta Beach - Bali,2765,3.4151898734177215
1171,Merapi Volcano,2235,4.079194630872483
749,Tegenungan Waterfall,2190,3.895433789954338
481,Nusa Dua Beach,2104,4.275665399239544
1166,Malioboro Road,1324,3.869335347432024
1278,Ullen Sentalu Museum,978,4.2566462167689165
1297,Yogyakarta Palace,798,3.5388471177944862
888,Bromo Tengger Semeru National Park,381,4.611548556430447
1220,Ramayana Ballet at Prambanan,377,4.180371352785146
1238,Sewu Temple,377,4.1246684350132625
1280,Water Castle (Tamansari),373,3.8150134048257374
1225,Ratu Boko Temple,204,3.9362745098039214
1133,Jomblang Cave,135,4.503703703703704
